DateTime,Text,Language,Hashtags,ReplyCount,RetweetCount,LikeCount,QuoteCount
2022-11-09 08:57:45+00:00,"eli rio jr, tntrio, nov. 9, 1pm: mani support are ask us what happen if telco data will be delet or written-ov by new data, if the suprem court doe not issu a tro today, novemb 9, 2022. #transmissionlog #halalan2022",en,"['TransmissionLogs', 'Halalan2022']",2,6,17,0
2022-11-07 07:33:22+00:00,"tonight po, nov 7, monday, 730pm, tntrio’ eli rio jr. will be interview by christian esguerra, fact first. they will talk about the mandamu petit submit to the suprem court. the interview will stream live on facebook and youtube. #transmissionlog #halalan2022 https://t.co/tnj3byeofw",en,"['TransmissionLogs', 'Halalan2022']",62,233,966,4
2022-11-06 15:00:11+00:00,2022 philippin vice-presidenti elect | iloco sur (con't) 10) pangilinan' best elector perform wa in the town of santa catalina where he place second and lost to dutert by a margin of 83%. (8/8) #halalan2022,en,['Halalan2022'],0,0,0,0
2022-11-06 15:00:11+00:00,2022 philippin vice-presidenti elect | iloco sur (con't) 9) sotto' best elector perform wa in the town of sugpon where he place second and lost to dutert by a margin of 73%. (7/8) #halalan2022,en,['Halalan2022'],1,0,0,0
2022-11-06 15:00:10+00:00,2022 philippin vice-presidenti elect | iloco sur (con't) 8) duterte' best elector perform wa in the town of lidlidda where she won there by a margin of ~94% (6/8) #halalan2022,en,['Halalan2022'],1,0,0,0
2022-11-06 15:00:09+00:00,"2022 philippin vice-presidenti elect | iloco sur (con't) 7) interestingly, doc willi ong manag to place second in just one municipality, san emilio. thi is hi best elector perform in the province. https://t.co/tt6bkxbgwm (5/8) #halalan2022",en,['Halalan2022'],1,0,0,0
2022-11-06 15:00:09+00:00,2022 philippin vice-presidenti elect | iloco sur (con't) 5) sotto place 2nd in 26 municip and 2 cities. 6) pangilinan place 2nd in 5 municipalities. (4/8) #halalan2022,en,['Halalan2022'],1,0,0,0
2022-11-06 15:00:08+00:00,2022 philippin vice-presidenti elect | iloco sur (con't) 3) dutert won on all municip and citi in the province. 4) dutert won with a vote share of > 90% in 24 municip and 1 city. (3/8) #halalan2022,en,['Halalan2022'],1,0,0,0
2022-11-06 15:00:08+00:00,"2022 philippin vice-presidenti elect | iloco sur (con't) 2) as it wa in iloco norte, tito sotto trail dutert with 4.5% of the total vote while kiko pangilinan place 3rd with 3.1%. (2/8) #halalan2022",en,['Halalan2022'],1,0,0,0
2022-11-06 15:00:07+00:00,"2022 philippin vice-presidenti elect | iloco sur 1) just like in iloco norte, sara dutert won a landslid victori in iloco sur, although the vote share is ~3% lower than in iloco norte. (1/8) #halalan2022 https://t.co/gssitlsbrn",en,['Halalan2022'],1,2,4,0
2022-11-05 04:44:38+00:00,leni robredo concret plan for filipino sea fearer (unfortun did not win the pres. elect #eleksyon2022 #halalan2022 factcheck: she ha plan for the maritim personnel back then dure her campaign in mar and april 2022 dure her attend to variou forum 1/n https://t.co/pn2o2hqefh,en,"['eleksyon2022', 'Halalan2022']",1,13,26,3
2022-11-04 07:38:30+00:00,@maria_embri https://t.co/m4ejknl4u9 former govt offici & a softwar app develop file a petit befor sc seek 2 stop telco fr delet data transmiss log on elect night & 2 compel them 2 submit these data to the high court #comelec #tntrio #transmissionlog #halalan2022,en,"['comelec', 'TNTrio', 'transmissionlogs', 'Halalan2022']",0,1,1,0
2022-11-04 03:01:00+00:00,"""a petit ha been file befor the suprem court urg it to compel the preserv of data transmit on the even of may 9, #elect day for nation and local posit in the #philippines."" #halalan2022 #eleksyon2022 https://t.co/ayfqah6alu",en,"['election', 'Philippines', 'Halalan2022', 'Eleksyon2022']",0,0,0,0
2022-11-03 12:45:39+00:00,"@_katrinadomingo pasig vice mayor dodot jaworski and councilor quin cruz confirm they have yet to leav aksyon demokratiko after sotto’ exit. former actress & now pasig councilor angelu de leon, who also ran under aksyon in #halalan2022, yet to respond re: statu of her parti membership.",en,['Halalan2022'],2,2,10,0
2022-11-03 12:43:21+00:00,"pasig vice mayor dodot jaworski and councilor quin cruz confirm they have yet to leav aksyon demokratiko after sotto’ exit. former actress & now pasig councilor angelu de leon, who also ran under aksyon in #halalan2022, yet to respond re: statu of her parti membership.",en,['Halalan2022'],0,0,2,0
2022-11-03 11:49:42+00:00,interest to read the mandamu petit submit today? https://t.co/xpq1c2e3vi #tntrio #comelec #transmissionlog #halalan2022 https://t.co/tpz5bntpad,en,"['TNTrio', 'COMELEC', 'transmissionlogs', 'Halalan2022']",0,49,78,2
2022-11-03 08:25:54+00:00,@abscbnnew 'verita numquam perit' – truth never perishes. 🙌 #halalan2022 #comelec,en,"['Halalan2022', 'Comelec']",1,7,79,0
2022-11-03 08:10:32+00:00,earlier: two former govern offici and a softwar app develop file a petit befor sc seek to stop telco from delet data transmiss log on elect night and to compel them to submit these data to the high court. #halalan2022 https://t.co/1nszjxhkjd,en,['Halalan2022'],104,1665,8064,168
2022-11-01 07:00:01+00:00,last week' twitter space let you have a sneak peek into @jonathan_c_ong @nicolecurato @rcfallorina @ferds_sanchez and @lanuzer' new research on disinform in #halalan2022. you can now read the whole paper here: https://t.co/bnv47yyogd,en,['halalan2022'],0,4,9,1
2022-10-31 14:38:45+00:00,i rememb all those pink sorti we had dure the #halalan2022,en,['Halalan2022'],0,0,0,0
2022-10-23 01:02:39+00:00,"press statement of @comelec re: oral argument at the suprem court in macalint v. comelec, gr no. 263590 #botoko #bske2022 #halalan2022 #eleksyon2022 #phvote #bilangpilipino2022",en,"['BotoKo', 'BSKE2022', 'Halalan2022', 'Eleksyon2022', 'PHVote', 'BilangPilipino2022']",0,0,0,0
2022-10-22 02:50:45+00:00,"suspens of the file of certif of candidaci and other activ for the decemb 5, 2022 barangay and sangguniang kabataan elect #botoko #bske2022 #halalan2022 #eleksyon2022 #phvote #bilangpilipino2022",en,"['BotoKo', 'BSKE2022', 'Halalan2022', 'Eleksyon2022', 'PHVote', 'BilangPilipino2022']",0,0,0,0
2022-10-22 00:00:40+00:00,commiss on elect chairman georg garcia on friday told the suprem court that the poll bodi could no longer hold the barangay and sangguniang kabataan elect (bske) in decemb 2022. #botoko #bske2022 #halalan2022 #eleksyon2022 #phvote #bilangpilipino2022,en,"['BotoKo', 'BSKE2022', 'Halalan2022', 'Eleksyon2022', 'PHVote', 'BilangPilipino2022']",0,0,0,0
2022-10-20 05:23:01+00:00,suprem court ha set 6 major constitut & legal issu which should be thresh out dure the oral argument on the petit that challeng the 2022 barangay and sk elect postpon #botoko #bske2022 #halalan2022 #eleksyon2022 #phvote #bilangpilipino2022,en,"['BotoKo', 'BSKE2022', 'Halalan2022', 'Eleksyon2022', 'PHVote', 'BilangPilipino2022']",0,0,0,0
2022-10-19 05:02:15+00:00,read: @comelec chairman georg erwin m. garcia' statement on the oral argument for atty. romulo macalint vs. comelec #botoko #bske2022 #halalan2022 #eleksyon2022 #phvote #bilangpilipino2022,en,"['BotoKo', 'BSKE2022', 'Halalan2022', 'Eleksyon2022', 'PHVote', 'BilangPilipino2022']",0,0,0,0
2022-10-19 00:00:24+00:00,the suprem court will hold an oral argument on friday regard the petit to nullifi republ act 11935 or the law allow the postpon of the barangay and sangguniang kabataan elections. #botoko #bske2022 #halalan2022 #eleksyon2022 #phvote #bilangpilipino2022,en,"['BotoKo', 'BSKE2022', 'Halalan2022', 'Eleksyon2022', 'PHVote', 'BilangPilipino2022']",0,0,0,0
2022-10-18 22:14:41+00:00,the commiss on elect (@comelec) ha lower it budget request for the barangay and sangguniang kabataan elect (bske) to p4 billion from p10 billion #botoko #bske2022 #halalan2022 #eleksyon2022 #phvote #bilangpilipino2022,en,"['BotoKo', 'BSKE2022', 'Halalan2022', 'Eleksyon2022', 'PHVote', 'BilangPilipino2022']",0,0,0,0
2022-10-18 09:15:19+00:00,#100daysofcod season 3 | day 61 finish build the map which show the municip and citi in iloco sur where each candid in the 2022 vice-presidenti elect won and by what margin. #python #rstat #rspatial #halalan2022 https://t.co/lzxd1ocpsa,en,"['100DaysOfCode', 'Python', 'RStats', 'rspatial', 'Halalan2022']",0,7,6,0
2022-10-18 08:15:18+00:00,"interest result from san emilio, iloco sur. doc willi ong wa abl to place second in the town, beat tito sotto by a margin of 13 vote and kiko pangilinan by a margin of 34 votes. thi is so far hi best elector perform in the province. #halalan2022 https://t.co/sk4lq1fada",en,['Halalan2022'],1,1,7,1
2022-10-18 05:13:49+00:00,comelec chairman garcia welcom petit on bske postpon law legal #botoko #bske2022 #halalan2022 #eleksyon2022 #phvote #bilangpilipino2022,en,"['BotoKo', 'BSKE2022', 'Halalan2022', 'Eleksyon2022', 'PHVote', 'BilangPilipino2022']",0,0,0,0
2022-10-18 00:00:03+00:00,"comelec chairman garcia said on monday that the petit to declar unconstitut ra 11935 that mandat the postpon of the barangay and sangguniang kabataan elect (bske) is a ""good"" develop #botoko #bske2022 #halalan2022 #eleksyon2022 #phvote #bilangpilipino2022",en,"['BotoKo', 'BSKE2022', 'Halalan2022', 'Eleksyon2022', 'PHVote', 'BilangPilipino2022']",0,0,0,0
2022-10-17 23:02:32+00:00,"senat suspend @comelec budget hear over unsubmit docs, info #botoko #bske2022 #halalan2022 #eleksyon2022 #phvote #bilangpilipino2022",en,"['BotoKo', 'BSKE2022', 'Halalan2022', 'Eleksyon2022', 'PHVote', 'BilangPilipino2022']",0,0,0,0
2022-10-17 09:22:23+00:00,#100daysofcod season 3 | day 60 start build the map show the citi and municip in iloco sur where each candid of the 2022 vice-presidenti elect won and by what margin. #python #rstat #rspatial #halalan2022,en,"['100DaysOfCode', 'Python', 'RStats', 'rspatial', 'Halalan2022']",1,7,5,0
2022-10-17 00:13:51+00:00,"@pcubeservic @smninew @ntfelcac @bongbongmarco @ncipipra denni uy is exposed! the result of #halalan2022 is a big scam💀. the world doe not believ bbm and marcos' famili of liars, thiev and plunderers.😎 https://t.co/mswxgcxwbd",en,['Halalan2022'],1,0,0,0
2022-10-16 16:09:04+00:00,who is rodrigo? ... #madrid #halalan2022,en,"['madrid', 'Halalan2022']",0,0,1,0
2022-10-15 15:00:12+00:00,ferdinand marco jr. got 100% of the vote share in 5 precinct or 0.6% of the total precinct in iloco norte. (1/2) #halalan2022 https://t.co/nfspvp1sxf,en,['Halalan2022'],1,1,1,0
2022-10-14 21:38:32+00:00,"leagu of citi of the philippines’ new president, cebu citi mayor rama, said local govern should respect the decis to postpon the decemb 2022 barangay and sangguniang kabataan elect (bske). #botoko #bske2022 #halalan2022 #eleksyon2022 #phvote #bilangpilipino2022",en,"['BotoKo', 'BSKE2022', 'Halalan2022', 'Eleksyon2022', 'PHVote', 'BilangPilipino2022']",0,0,0,0
2022-10-13 16:09:58+00:00,@thecee_c said thi too when i watch that episode. ang laka maka halalan2022 feel dbaaaa,en,,1,0,0,0
2022-10-13 08:09:33+00:00,googl trends? memori of #halalan2022.,en,['Halalan2022'],0,0,0,0
2022-10-12 19:10:05+00:00,statement of comelec chairman georg erwin m. garcia on the postpon of the 2022 barangay and sangguniang kabataan elect #botoko #bske2022 #halalan2022 #eleksyon2022 #phvote #bilangpilipino2022,en,"['BotoKo', 'BSKE2022', 'Halalan2022', 'Eleksyon2022', 'PHVote', 'BilangPilipino2022']",0,0,0,0
2022-10-11 08:59:26+00:00,🟨kiko pangilinan (liberal) - for vice presid 2022 perform vote share by provinc map the long-tim senat place second in a lopsid vp election. realization: i do believ that pangilinan' perform is the floor for liberals. 1/x #electiontwitt #halalan2022🇵🇭 https://t.co/icv7b3mauf,en,"['ElectionTwitter', 'Halalan2022']",1,3,33,2
2022-10-09 12:34:45+00:00,"roxa (2016) vs robredo (2022) presidenti race perform 🟨mar roxa 23.5% 🟪leni robredo 27.9% 🟪robredo+4.4 robredo outperform roxa by 4 points. robredo increas in the lingayen-lucena corridor, bicol, some part of visaya and davao. #electiontwitt #halalan2022🇵🇭 https://t.co/fdlxcut6xi",en,"['ElectionTwitter', 'Halalan2022']",2,3,25,2
2022-10-09 02:13:55+00:00,the leagu of provinc of the philippin is support the postpon of the 2022 barangay and sangguniang kabataan elect #botoko #bske2022 #halalan2022 #eleksyon2022 #phvote #bilangpilipino2022,en,"['BotoKo', 'BSKE2022', 'Halalan2022', 'Eleksyon2022', 'PHVote', 'BilangPilipino2022']",0,0,0,0
